Author,Review URL,Description,Rating
Vikit Shetty,https://www.zoma.to/dZXaAdq,"Whenever someone new comes to bangalore,  I take them to this place and this place never disappoints. One of the best biryani place in Bangalore.",5.0
Prateek,https://www.zoma.to/zxKKgNn,"Very nice service, nice behaviour of staff . Good job- sharma ji & sameer",5.0
R.Gopi,https://www.zoma.to/YbkbvYg,no chance to make dine in book,1.0
Aravinda Mishra,https://www.zoma.to/LeKrprK,Nice food,5.0
Kunal,https://www.zoma.to/rDBMRkO,Meghana foods recently started serving bad food for takeaway and dining we had went for takeaway and when we got the biryani home and tasted it then the rice was not cooked properly and then we had panner and that was also a bit bad then surprisingly the extra panner that we took was tasting amazing but Meghana pls improve ur food….,2.0
Harsha K,https://www.zoma.to/voneLxN,The ambience here is too noisy. The workers here fight over small issues. We expected mango lassi to have mango pulp in it instead it had some ready made jelly pulp.,1.0
Kislay Kumar,https://www.zoma.to/OMPagRm,Good food and good service by Hemlal,5.0
Santosh,https://www.zoma.to/wgvOrEv,They servered neck peices in Biriyani,1.0
Baibhav Padhy,https://www.zoma.to/MNQoDgO,Kamdev served and treated us really well. Appreciate such service!,5.0
Sampriti Sahoo,https://www.zoma.to/nkbMZvQ,today dinner far meghna foods good food and gerate sarvice oder taker mr.kamdev good suggestion mr .ramjan good sarvice🥰🥰,5.0
Purnima,https://www.zoma.to/mbeMZyz,Mr .Arun was very helpfull,5.0
Anusha Kambala,https://www.zoma.to/EamxRzg,today dinner meghana foods good food grate sarvice mr ramjan mr kamdev 🥰🥰,5.0
Disha MJ,https://www.zoma.to/wbpyZMP,The veg biriyani was AMAZING,5.0
Mourya Sai,https://www.zoma.to/LPlZKbX,Very good food. The guy name Idris served very well.,5.0
Mrcomman Man,https://www.zoma.to/qnlwxaE,today diner megha foods diner biryani and stater good taste sarvice mr idresh odertaker mr kamdev good suggestion,5.0
Vishwanath Naik,https://www.zoma.to/zbnOAxl,im dinner far megha fod good food grate sarvice mr kamdev and mr hemlal,5.0
Bhanu Prakash,https://www.zoma.to/kDBaLBK,biriyani good taest ,5.0
Varun Karthik,https://www.zoma.to/PwPYmOl,Today lucnch far Meghana foods good food sarivice is good Mr idresh Oder taker Mr kamdev,5.0
Vijay Reddy,https://www.zoma.to/ybYpxPP,Spl fish fry boneless Biriyani good taste service is good Mr Suraj and Basheer,5.0
Sumanth,https://www.zoma.to/AAXqagp,I order nati biriani and chicken bonles biriyani good test good suggestion Mr Basheer service Mr deva <br/>staff is very friendly ,5.0
Gokul,https://www.zoma.to/NbGwQoP,good taste papper chicken and wonderful biryani ,5.0
Abhijit Agani,https://www.zoma.to/RKnmqRG,i wist at meghana foods inorder mt roast <br/>leg roast panner ghee roast taste is is very good suggestion Mr basheer and Suresh is good order taken <br/>sataf is very friendly good atmosphere ,5.0
DENNY GEORGE,https://www.zoma.to/gBROOGn,chicken leg roast is good test also boneless biriyani good suggestion mr suresh service suraj,5.0
Siva Ndvs,https://www.zoma.to/kDylaky,Service is too good Murtza and Basheer<br/><br/>fish and chicken items are good ,5.0
Nitheesh Repalle,https://www.zoma.to/Qqevglb,"service was too good,must try chicken leg roast ,panner ghee roast ",5.0
Omprakash Biswal,https://www.zoma.to/kDyropK,today diner Meghna foods I'm order for mutton fry and and Meghan biryani good tasty good suggestion Mr kamdev and sarvice Mr idrish ,5.0
Joyal Joseph,https://www.zoma.to/OxZnyLQ,@Suraj helped a me lot on serving the food.<br/>@Kamadev help3d on managing those. ,5.0
Mohd Kaifee,https://www.zoma.to/MNerdBY,"service was really good from Murtaza, basheer. appreciated",5.0
Keerthi Vardhanapu,https://www.zoma.to/PwaaMzd,today going meghana foods I'm order for leg roast and mutton fry good tasty good suggestion far mr kamdev sarivice me idresh good sarivice 🥰,4.0
Harika,https://www.zoma.to/ybzzwvY,today going to meghna food I'm oder for butter chicken curry and butter naan good tasty biryani also good Mr Suresh good suggestions sarvice me Manoj 🥰🥰,5.0
Rashmitha A R,https://www.zoma.to/aqrrRao,"Taste is very nice, Chicken kodi vepudu taste is good and biryani too<br/>captain raghavendra very humble service ",5.0
K Praveen Kumar,https://www.zoma.to/eAebydA,"best restaurants in Bangalore Marathahalli meghana foods and As soon as we went to Meghna Foods, Subbu received us, looked after us very well and became friendly with us We want Thane to receive it again subbu and Very well serviced",5.0
D.venkatareddy,https://www.zoma.to/rElndnQ,"best restaurant in Bangalore,staff(subramanyan) is very friendly especially,food is very tasty ",5.0
Nikhil Adarsh,https://www.zoma.to/zbQzKbn,Food was awesome with good quantity as well as good quality served specially by Bashir and Pradeep(Friendly Staff),5.0
Meghana,https://www.zoma.to/mbXlKqq,today going to meghana foods marthali dinner guntur chicken &boneless biriyani good tastey oder taker Mr. atanu maity &kamdev Srivice Mr. akbar good 🥰,5.0
Yashwanth,https://www.zoma.to/mbXlKMk,the food and service was good and very comfortable <br/><br/>ATANU MAITY IS VERY GOOD FOR SERVICE AND EASY TO COMMUNICATE ,5.0
MamathaVinod,https://www.zoma.to/nkPDXra,im going today lunch my frends and me meghana foods good tastey food sarivice mr ramjan oder taker kamdev good sugtion ,5.0
Gowda Nagesh,https://www.zoma.to/BZPNRde,I'm visited today Marathalli Meghana foods i eat mutton biriyani very nice.. ,5.0
