Area Found,Restaurant Name,Rating,Cuisine,Price,Link
Anjanapura,BLR Brewing Co.,N/A,"North Indian, Continental, Asian, Chinese, Pizza","₹1,600 for two",https://www.zomato.com/bangalore/blr-brewing-co-1-kanakapura-road-bangalore/info
Anjanapura,Street Storyss,N/A,"Modern Indian, Street Food, Asian, Italian, Salad, Chinese, Beverages, Desserts","₹1,600 for two",https://www.zomato.com/bangalore/street-storyss-kanakapura-road-bangalore/info
Anjanapura,Sadda Punjabi Dhaba,N/A,"North Indian, Chinese","₹1,000 for two",https://www.zomato.com/bangalore/sadda-punjabi-dhaba-kanakapura-road-bangalore/info
Anjanapura,Brik Oven - Woodfired Pizzas,N/A,"Pizza, Italian, Beverages, Desserts, Shake","₹1,200 for two",https://www.zomato.com/bangalore/brik-oven-woodfired-pizzas-kanakapura-road-bangalore/info
Anjanapura,Chianti,N/A,"Italian, Pizza, Pasta, Desserts, Salad","₹2,200 for two",https://www.zomato.com/bangalore/chianti-kanakapura-road-bangalore/info
Anjanapura,The Big Barbeque,N/A,"Biryani, North Indian, Chinese, Ice Cream, Mangalorean, Fast Food, Salad, Desserts","₹1,500 for two",https://www.zomato.com/bangalore/the-big-barbeque-bannerghatta-road-bangalore/info
Anjanapura,The Palms Brew & Kitchen,N/A,"Modern Indian, North Indian","₹2,500 for two",https://www.zomato.com/bangalore/the-palms-brew-kitchen-jp-nagar-bangalore/info
Anjanapura,Brahma Brews,N/A,"Asian, North Indian, South Indian","₹2,500 for two",https://www.zomato.com/bangalore/brahma-brews-jp-nagar-bangalore/info
Anjanapura,Hakuna Matata,N/A,"North Indian, Asian, Seafood, Chinese, Biryani, Fast Food, Desserts, Beverages","₹1,000 for two",https://www.zomato.com/bangalore/hakuna-matata-jp-nagar/info
Anjanapura,UTK - United Telugu Kitchens,N/A,"Andhra, Chinese, South Indian, Biryani, Kebab, Hyderabadi, Desserts","₹1,500 for two",https://www.zomato.com/bangalore/utk-united-telugu-kitchens-1-kanakapura-road-bangalore/info
Anjanapura,YouMee,N/A,"Chinese, Asian, Momos, Sushi, Desserts, Beverages","₹2,000 for two",https://www.zomato.com/bangalore/youmee-uttarahalli-bangalore/info
