Area,Restaurant Name,Rating,Cuisine,Price,Link
Indiranagar,Ishaara,N/A,"North Indian, Kebab, Biryani, Pizza, Desserts","₹2,500 for two",https://www.zomato.com/bangalore/ishaara-residency-road-bangalore/info
Indiranagar,Cha Hong Kong Eating House,N/A,"Chinese, Sushi, Asian, Japanese, Salad, Desserts","₹1,000 for two",https://www.zomato.com/bangalore/cha-hong-kong-eating-house-church-street-bangalore/info
Indiranagar,Kling Brewery,N/A,"Continental, European, Asian, Chinese, North Indian, South Indian, Seafood","₹2,800 for two",https://www.zomato.com/bangalore/kling-brewery-church-street-bangalore/info
Indiranagar,Muro,N/A,"Thai, Cantonese, Salad, Desserts","₹2,800 for two",https://www.zomato.com/bangalore/muro-church-street-bangalore/info
Indiranagar,Coastal Machali Co.,N/A,"Mangalorean, North Indian, Seafood, Chinese","₹1,300 for two",https://www.zomato.com/bangalore/coastal-machali-co-residency-road-bangalore/info
Indiranagar,Cavore,N/A,"Seafood, Continental","₹3,000 for two",https://www.zomato.com/bangalore/cavore-shanti-nagar-bangalore/info
Indiranagar,Yazu Pan Asian Supper Club,N/A,"Japanese, Chinese, Beverages, Alcoholic Beverages","₹2,500 for two",https://www.zomato.com/bangalore/yazu-pan-asian-supper-club-st-marks-road-bangalore/info
Indiranagar,Just BLR,N/A,"North Indian, Chinese, Biryani, Beverages","₹2,500 for two",https://www.zomato.com/bangalore/just-blr-1-brigade-road-bangalore/info
Indiranagar,boCHE & Shakesbierre - Brewpub & Club,N/A,"Finger Food, North Indian, Continental, Italian, Desserts, Beverages","₹1,800 for two",https://www.zomato.com/bangalore/boche-shakesbierre-brewpub-club-brigade-road-bangalore/info
Koramangala,Magique,N/A,"Asian, Modern Indian, Continental, Italian, North Indian, Sushi, Desserts, Beverages","₹1,500 for two",https://www.zomato.com/bangalore/magique-koramangala-6th-block-bangalore/info
Koramangala,The Reservoire,N/A,"Continental, Asian, Bar Food, Pizza, North Indian, Biryani, Desserts","₹2,500 for two",https://www.zomato.com/bangalore/the-reservoire-koramangala-5th-block/info
Koramangala,Brooks And Bonds Brewery,N/A,"Continental, American, North Indian, Italian, Pasta, Beverages, Desserts, Pizza","₹1,800 for two",https://www.zomato.com/bangalore/brooks-and-bonds-brewery-koramangala-5th-block-bangalore/info
Koramangala,Dave and Busters,N/A,"American, Asian, Burger, Continental","₹1,200 for two",https://www.zomato.com/bangalore/dave-and-busters-koramangala-8th-block-bangalore/info
Koramangala,Yummy Bee,N/A,"Bakery, Desserts",₹700 for two,https://www.zomato.com/bangalore/yummy-bee-1-koramangala-4th-block-bangalore/info
Koramangala,XOOX Brewmill,N/A,"North Indian, Continental, American, Italian, Asian, Modern Indian, Pizza, Desserts","₹2,000 for two",https://www.zomato.com/bangalore/xoox-brewmill-1-koramangala-7th-block-bangalore/info
Koramangala,HOD - House Of Dopamine,N/A,"Continental, Chinese, Asian, Alcoholic Beverages, North Indian, South Indian, Pizza, Bar Food","₹2,700 for two",https://www.zomato.com/bangalore/hod-house-of-dopamine-koramangala-7th-block-bangalore/info
Koramangala,Ganbeii,N/A,"Continental, Desserts, Kerala, North Indian, Pizza, Biryani, Seafood, South Indian","₹1,000 for two",https://www.zomato.com/bangalore/ganbeii-koramangala-7th-block-bangalore/info
Koramangala,Brik Oven - Woodfired Pizzas,N/A,"Pizza, Italian, Beverages, Desserts, Shake","₹1,200 for two",https://www.zomato.com/bangalore/brik-oven-woodfired-pizzas-koramangala-4th-block-bangalore/info
Koramangala,Blah Bla,N/A,"North Indian, Chinese, Seafood","₹2,900 for two",https://www.zomato.com/bangalore/blah-bla-koramangala-5th-block-bangalore/info
Koramangala,SOL55 - Community Bar,N/A,"Continental, Chinese, North Indian, South Indian, Pizza, Desserts, Cafe, Italian","₹1,200 for two",https://www.zomato.com/bangalore/sol55-community-bar-koramangala-4th-block-bangalore/info
Koramangala,Bao To Me,N/A,"Chinese, Asian, Japanese, Beverages","₹1,100 for two",https://www.zomato.com/bangalore/bao-to-me-koramangala-1st-block-bangalore/info
Koramangala,404 by TOF,N/A,"North Indian, Chinese, Asian, Burger, Pasta, Momos, Desserts","₹2,400 for two",https://www.zomato.com/bangalore/404-by-tof-koramangala-7th-block-bangalore/info
Koramangala,Atlantis,N/A,"North Indian, Asian","₹2,500 for two",https://www.zomato.com/bangalore/atlantis-hsr-bangalore/info
Koramangala,House Of Commons,N/A,"Bar Food, Fast Food, North Indian, Continental, Seafood, Italian, Chinese, Desserts","₹1,200 for two",https://www.zomato.com/bangalore/house-of-commons-hsr-bangalore/info
Koramangala,Jamming Goat 3.0,N/A,"South Indian, Asian, Thai, Continental, North Indian","₹2,000 for two",https://www.zomato.com/bangalore/jamming-goat-3-0-indiranagar-bangalore/info
Koramangala,Beige,N/A,"Italian, Mexican, Asian","₹2,000 for two",https://www.zomato.com/bangalore/beige-2-marathahalli-bangalore/info
Koramangala,The Biere Club,N/A,"Burger, Bar Food, Modern Indian","₹1,500 for two",https://www.zomato.com/bangalore/the-biere-club-hsr-bangalore/info
Koramangala,epulo - Vineyard Restaurant,N/A,"North Indian, Continental, Chinese, Salad, Desserts, Beverages",₹950 for two,https://www.zomato.com/bangalore/epulo-vineyard-restaurant-chanapatna-bangalore/info
Koramangala,21st Amendment Gastrobar,N/A,"North Indian, Pasta, Chinese, Bar Food, Continental, Beverages, Pizza, South Indian","₹1,200 for two",https://www.zomato.com/bangalore/21st-amendment-gastrobar-indiranagar-bangalore/info
Koramangala,Oia,N/A,"Continental, Asian, Seafood, Salad, Pizza, North Indian, Desserts","₹2,500 for two",https://www.zomato.com/bangalore/oia-3-hennur-bangalore/info
Koramangala,Gawky Goose,N/A,"Italian, Biryani, North Indian, Fast Food, Seafood, Asian, Desserts, Beverages","₹1,400 for two",https://www.zomato.com/bangalore/gawky-goose-airport-road-bangalore/info
Koramangala,Long Boat Brewing Co.,N/A,"Chinese, Asian, North Indian, Pizza, South Indian, Continental","₹2,000 for two",https://www.zomato.com/bangalore/long-boat-brewing-co-marathahalli-bangalore/info
Koramangala,Bob's Bar,N/A,"Finger Food, Sandwich, Desserts, South Indian, Kebab, Bar Food, Beverages","₹1,600 for two",https://www.zomato.com/bangalore/bobs-bar-1-indiranagar-bangalore/info
Koramangala,Maize & Malt,N/A,"Continental, Asian, South Indian, North Indian, Salad, Momos, Desserts","₹2,600 for two",https://www.zomato.com/bangalore/maize-malt-whitefield-bangalore/info
Koramangala,Shift Lounge & Bar,N/A,"Finger Food, Continental, North Indian, Salad, Seafood, Mughlai, Alcoholic Beverages, Beverages","₹2,000 for two",https://www.zomato.com/bangalore/shift-lounge-bar-hsr-bangalore/info
Koramangala,BLR Brewing Co.,N/A,"North Indian, Continental, Asian, Chinese, Pizza","₹1,600 for two",https://www.zomato.com/bangalore/blr-brewing-co-1-whitefield-bangalore/info
Koramangala,Jamavar - The Leela Palace,N/A,"North Indian, South Indian","₹5,000 for two",https://www.zomato.com/bangalore/jamavar-the-leela-palace-airport-road/info
Koramangala,ICB Indian Craft Brewery,N/A,"North Indian, Asian, Continental, American, Chinese","₹2,000 for two",https://www.zomato.com/bangalore/icb-indian-craft-brewery-nagawara-bangalore/info
Koramangala,Oyster Bar & Kitchen,N/A,"North Indian, Chinese, Continental, Beverages, Bar Food, Desserts, Asian, Pizza","₹1,400 for two",https://www.zomato.com/bangalore/oyster-bar-kitchen-hsr-bangalore/info
Koramangala,Uru Brewpark,N/A,"North Indian, Asian, Continental, Desserts, Italian, Kebab, Pizza","₹2,800 for two",https://www.zomato.com/bangalore/uru-brewpark-jp-nagar-bangalore/info
Koramangala,Zen - The Leela Palace,N/A,"Salad, Asian","₹3,500 for two",https://www.zomato.com/bangalore/zen-the-leela-palace-airport-road-bangalore/info
Koramangala,ABV - Artisanal Bier Village,N/A,"Continental, Asian, North Indian, Italian","₹2,500 for two",https://www.zomato.com/bangalore/abv-artisanal-bier-village-whitefield-bangalore/info
Koramangala,Citrus - The Leela Palace,N/A,"North Indian, Indo-Chinese, Street Food","₹4,000 for two",https://www.zomato.com/bangalore/citrus-the-leela-palace-airport-road/info
Koramangala,Helen's Place,N/A,"European, Asian, Modern Indian, Italian, Portuguese, Pizza, Chinese, North Indian","₹1,500 for two",https://www.zomato.com/bangalore/helens-place-1-marathahalli-bangalore/info
Koramangala,Quarter Peter,N/A,"Bar Food, South Indian","₹1,100 for two",https://www.zomato.com/bangalore/quarter-peter-indiranagar-bangalore/info
Koramangala,Roxie & Barry,N/A,"European, Italian, Pizza, North Indian, Continental, Asian, Japanese, Pasta","₹1,500 for two",https://www.zomato.com/bangalore/roxie-barry-whitefield-bangalore/info
Koramangala,Idylll - Indian Plates & Cocktails,N/A,"North Indian, Modern Indian, South Indian, Seafood, Kebab, Alcoholic Beverages, Healthy Food, Desserts","₹2,600 for two",https://www.zomato.com/bangalore/idylll-indian-plates-cocktails-indiranagar-bangalore/info
Koramangala,OASIS BREWERY,N/A,"Asian, Modern Indian, South Indian, Burger, Pizza, Beverages, Salad, Mexican","₹1,500 for two",https://www.zomato.com/bangalore/oasis-brewery-mahadevapura-bangalore/info
Koramangala,Smoke House Deli,N/A,"Continental, Italian, BBQ, Fast Food, Ice Cream, Salad, Desserts, Beverages","₹2,300 for two",https://www.zomato.com/SmokeHouseDeli-Indiranagar/info
Koramangala,Byg Brewski Brewing Company,N/A,"North Indian, Continental, Asian, Pasta, Burger, Fast Food, Desserts, Pizza","₹2,300 for two",https://www.zomato.com/bangalore/byg-brewski-brewing-company-hennur-bangalore/info
Koramangala,boCHE & Shakesbierre - Brewpub & Club,N/A,"Finger Food, North Indian, Continental, Italian, Desserts, Beverages","₹1,800 for two",https://www.zomato.com/bangalore/boche-shakesbierre-brewpub-club-brigade-road-bangalore/info
Koramangala,Suka Brew and Kitchen,N/A,"North Indian, Seafood, Salad, Chinese, Fast Food","₹1,200 for two",https://www.zomato.com/bangalore/suka-brew-and-kitchen-nagarbhavi-bangalore/info
Koramangala,KAI Bar And Kitchen,N/A,"Asian, Continental, Oriental, Mediterranean, Desserts","₹4,000 for two",https://www.zomato.com/bangalore/kai-bar-and-kitchen-mg-road-bangalore/info
Koramangala,PHURR,N/A,,"₹1,500 for two",https://www.zomato.com/bangalore/phurr-indiranagar-bangalore/info
Koramangala,Coastal Machali Co.,N/A,"Mangalorean, North Indian, Seafood, Chinese","₹1,300 for two",https://www.zomato.com/bangalore/coastal-machali-co-residency-road-bangalore/info
